Elements;insertBT;deleteBT;findBT;findTP;equalBT;isBT;nanoSec;500;1000;5;20;auf
500;1300;17800;71500;53000;3900;0
1500;1267;23133;89500;139333;7167;67
2500;1260;25340;95000;220500;11820;40
3500;1314;26900;99857;339929;18643;86
4500;1378;28878;106611;458833;22244;78
5500;1264;29482;110864;673182;30309;64
6500;1308;30377;115346;851538;62915;54
7500;1380;31433;118500;1011133;79513;93
8500;1371;32406;121971;1107471;95559;71
9500;1389;32826;124316;1204816;108495;84
10500;1324;32657;123595;1326071;103095;71
